"FUA","FUA06","UA2006","UA2012","UA2018","NAME06","NAME"
"AL001",NA,NA,"X","X",NA,"TIRANA"
"AL003",NA,NA,"X","X",NA,"ELBASAN"
"AL004",NA,NA,"X","X",NA,"SHKODER"
"AL005",NA,NA,"X","X",NA,"VLORE"
"AT001","AT001","X","X","X","WIEN","WIEN"
"AT002","AT002","X","X","X","GRAZ","GRAZ"
"AT003","AT003","X","X","X","LINZ","LINZ"
"AT004","AT004","X","X","X","SALZBURG","SALZBURG"
"AT005","AT005","X","X","X","INNSBRUCK","INNSBRUCK"
"AT006",NA,NA,"X","X",NA,"KLAGENFURT"
"BA001",NA,NA,"X","X",NA,"SARAJEVO"
"BA002",NA,NA,"X","X",NA,"BANJA_LUKA"
"BA003",NA,NA,"X","X",NA,"MOSTAR"
"BA004",NA,NA,"X","X",NA,"TUZLA"
"BA005",NA,NA,"X","X",NA,"ZENICA"
"BE001","BE001","X","X","X","BRUXELLES_BRUSSEL","BRUXELLES_BRUSSEL"
"BE002","BE002","X","X","X","ANTWERPEN","ANTWERPEN"
"BE003","BE003","X","X","X","GENT","GENT"
"BE004","BE004","X","X","X","CHARLEROI","CHARLEROI"
"BE005","BE005","X","X","X","LIEGE","LIEGE"
"BE006","BE006","X","X","X","BRUGGE","BRUGGE"
"BE007","BE007","X","X","X","NAMUR","NAMUR"
"BE008",NA,NA,"X","X",NA,"LEUVEN"
"BE009",NA,NA,"X","X",NA,"MONS"
"BE010",NA,NA,"X","X",NA,"KORTRIJK"
"BE011",NA,NA,"X","X",NA,"OOSTENDE"
"BG001","BG001","X","X","X","SOFIA","SOFIA"
"BG002","BG002","X","X","X","PLOVDIV","PLOVDIV"
"BG003","BG003","X","X","X","VARNA","VARNA"
"BG004","BG004","X","X","X","BURGAS","BURGAS"
"BG005","BG005","X","X","X","PLEVEN","PLEVEN"
"BG006","BG006","X","X","X","RUSE","RUSE"
"BG007","BG007","X","X","X","VIDIN","VIDIN"
"BG008","BG008","X","X","X","STARA_ZAGORA","STARA_ZAGORA"
"BG009",NA,NA,"X","X",NA,"SLIVEN"
"BG010",NA,NA,"X","X",NA,"DOBRICH"
"BG011",NA,NA,"X","X",NA,"SHUMEN"
"BG013",NA,NA,"X","X",NA,"YAMBOL"
"BG014",NA,NA,"X","X",NA,"HASKOVO"
"BG015",NA,NA,"X","X",NA,"PAZARDZHIK"
"BG016",NA,NA,"X","X",NA,"BLAGOEVGRAD"
"BG017",NA,NA,"X","X",NA,"VELIKO_TARNOVO"
"BG018",NA,NA,"X","X",NA,"VRATSA"
"CH001",NA,NA,"X","X",NA,"ZURICH"
"CH002",NA,NA,"X","X",NA,"GENEVE"
"CH003",NA,NA,"X","X",NA,"BASEL"
"CH004",NA,NA,"X","X",NA,"BERN"
"CH005",NA,NA,"X","X",NA,"LAUSANNE"
"CH006",NA,NA,"X","X",NA,"WINTERTHUR"
"CH007",NA,NA,"X","X",NA,"GALLEN"
"CH008",NA,NA,"X","X",NA,"LUZERN"
